"Well_ID","time_bin","Depth_ft","Latitude","Longitude","DepthClass","Database","Result"
"CDPH1000721","1990-2014",NA,36.365,-119.305,"Deep","CDPH",172.8
"CDPH1000722","1990-2014",NA,36.365,-119.305,"Deep","CDPH",110
"CDPH1000724","1990-2014",NA,36.04,-118.99,"Deep","CDPH",322.88
"CDPH1000725","1990-2014",NA,36.278,-119.305,"Deep","CDPH",328.2
"CDPH1000728","1960-1989",NA,36.481,-119.503,"Deep","CDPH",160.4
"CDPH1000728","1990-2014",NA,36.481,-119.503,"Deep","CDPH",89.6
"CDPH1000729","1990-2014",NA,36.278,-119.384,"Deep","CDPH",115.2
"CDPH1000731","1990-2014",NA,36.249,-119.265,"Deep","CDPH",290
"CDPH1000733","1990-2014",NA,36.423,-119.146,"Deep","CDPH",576
"CDPH1000734","1990-2014",NA,35.79,-119.14,"Deep","CDPH",339.2
"CDPH1000735","1990-2014",NA,36.51,-119.44,"Deep","CDPH",243.2
"CDPH1000737","1990-2014",NA,36.48,-119.24,"Deep","CDPH",275.2
"CDPH1000738","1990-2014",NA,36.48,-119.25,"Deep","CDPH",240
"CDPH1000739","1990-2014",NA,36.61,-119.3,"Deep","CDPH",640
"CDPH1000742","1990-2014",NA,36.307,-119.107,"Deep","CDPH",505.6
"CDPH1000743","1990-2014",NA,36.22,-119.345,"Deep","CDPH",202.08
"CDPH1000745","1960-1989",NA,36.51,-119.305,"Deep","CDPH",272
"CDPH1000745","1990-2014",NA,36.51,-119.305,"Deep","CDPH",371.2
"CDPH1000746","1960-1989",NA,36.539,-119.424,"Deep","CDPH",194.88
"CDPH1000746","1990-2014",NA,36.539,-119.424,"Deep","CDPH",179.2
"CDPH1000747","1990-2014",NA,36.539,-119.384,"Deep","CDPH",298.6
"CDPH1000748","1990-2014",NA,36.307,-119.146,"Deep","CDPH",434.4
"CDPH1000749","1960-1989",NA,36.3,-119.15,"Deep","CDPH",335.68
"CDPH1000749","1990-2014",NA,36.3,-119.15,"Deep","CDPH",370
"CDPH1000750","1990-2014",NA,36.29,-119.15,"Deep","CDPH",300
"CDPH1000751","1990-2014",NA,36.29,-119.14,"Deep","CDPH",320
"CDPH1000752","1990-2014",NA,36.29,-119.14,"Deep","CDPH",340
"CDPH1000753","1990-2014",NA,36.29,-119.14,"Deep","CDPH",326.4
"CDPH1000754","1990-2014",NA,36.22,-120.13,"Deep","CDPH",600
"CDPH1000755","1960-1989",NA,36.2,-119.06,"Deep","CDPH",460.8
"CDPH1000755","1990-2014",NA,36.2,-119.06,"Deep","CDPH",521.6
"CDPH1000756","1960-1989",NA,36.25,-119.2,"Deep","CDPH",406.8
"CDPH1000756","1990-2014",NA,36.25,-119.2,"Deep","CDPH",524.8
"CDPH1000757","1960-1989",NA,36.2,-119.06,"Deep","CDPH",497.48
"CDPH1000757","1990-2014",NA,36.2,-119.06,"Deep","CDPH",569.6
"CDPH1000758","1960-1989",NA,36.191,-119.067,"Deep","CDPH",536
"CDPH1000758","1990-2014",NA,36.191,-119.067,"Deep","CDPH",588.8
"CDPH1000759","1960-1989",NA,36.53,-119.28,"Deep","CDPH",332.6
"CDPH1000759","1990-2014",NA,36.53,-119.28,"Deep","CDPH",260
"CDPH1000760","1960-1989",NA,36.54,-119.29,"Deep","CDPH",471.8
